MonitoredData {startTime = 2011-11-28 02:27:59, endTime = 2011-11-28 10:18:11, activityLabel = 'Sleeping'}
MonitoredData {startTime = 2011-11-28 10:21:24, endTime = 2011-11-28 10:23:36, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-11-28 10:25:44, endTime = 2011-11-28 10:33:00, activityLabel = 'Showering'}
MonitoredData {startTime = 2011-11-28 10:34:23, endTime = 2011-11-28 10:43:00, activityLabel = 'Breakfast'}
MonitoredData {startTime = 2011-11-28 10:49:48, endTime = 2011-11-28 10:51:13, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-11-28 10:51:41, endTime = 2011-11-28 13:05:07, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-11-28 13:06:04, endTime = 2011-11-28 13:06:31, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-11-28 13:09:31, endTime = 2011-11-28 13:29:09, activityLabel = 'Leaving'}
MonitoredData {startTime = 2011-11-28 13:38:40, endTime = 2011-11-28 14:21:40, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-11-28 14:22:38, endTime = 2011-11-28 14:27:07, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-11-28 14:27:11, endTime = 2011-11-28 15:04:00, activityLabel = 'Lunch'}
MonitoredData {startTime = 2011-11-28 15:04:59, endTime = 2011-11-28 15:06:29, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-11-28 15:07:01, endTime = 2011-11-28 20:20:00, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-11-28 20:20:55, endTime = 2011-11-28 20:20:59, activityLabel = 'Snack'}
MonitoredData {startTime = 2011-11-28 20:21:15, endTime = 2011-11-29 02:06:00, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-11-29 02:16:00, endTime = 2011-11-29 11:31:00, activityLabel = 'Sleeping'}
MonitoredData {startTime = 2011-11-29 11:31:55, endTime = 2011-11-29 11:36:55, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-11-29 11:37:38, endTime = 2011-11-29 11:48:54, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-11-29 11:49:57, endTime = 2011-11-29 11:51:13, activityLabel = 'Showering'}
MonitoredData {startTime = 2011-11-29 12:08:28, endTime = 2011-11-29 12:18:00, activityLabel = 'Breakfast'}
MonitoredData {startTime = 2011-11-29 12:19:01, endTime = 2011-11-29 12:22:00, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-11-29 12:22:38, endTime = 2011-11-29 12:24:59, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-11-29 13:25:29, endTime = 2011-11-29 13:25:32, activityLabel = 'Snack'}
MonitoredData {startTime = 2011-11-29 13:25:38, endTime = 2011-11-29 15:12:26, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-11-29 15:13:28, endTime = 2011-11-29 15:13:57, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-11-29 15:14:33, endTime = 2011-11-29 15:45:54, activityLabel = 'Lunch'}
MonitoredData {startTime = 2011-11-29 15:49:51, endTime = 2011-11-29 15:50:54, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-11-29 15:52:04, endTime = 2011-11-29 16:17:58, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-11-29 16:18:00, endTime = 2011-11-29 16:31:27, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-11-29 16:34:17, endTime = 2011-11-29 17:08:07, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-11-29 17:08:58, endTime = 2011-11-29 17:09:29, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-11-29 17:43:00, endTime = 2011-11-29 18:57:22, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-11-29 19:02:15, endTime = 2011-11-29 20:23:38, activityLabel = 'Leaving'}
MonitoredData {startTime = 2011-11-29 20:28:00, endTime = 2011-11-30 01:19:47, activityLabel = 'Spare_Time/TV'}
